date,mean.temp,rain
2024-10-08,"35,703",0
2024-10-09,"35,353",0
2024-10-10,"35,126",0
2024-10-11,"34,978",0
2024-10-12,"35,315",0
2024-10-13,"35,021",0
2024-10-14,"34,57",1
2024-10-15,"34,522",0
2024-10-16,"35,28",0
2024-10-17,"35,017",0
2024-10-18,"34,843",1
2024-10-19,"35,198",0
2024-10-20,"34,029",0
2024-10-21,"34,015",0
2024-10-22,"34,644",0
2024-10-23,"35,018",0
2024-10-24,"34,761",0
2024-10-25,"34,718",0
2024-10-26,"34,751",1
2024-10-27,"33,584",0
2024-10-28,"33,423",0
2024-10-29,"34,468",0
2024-10-30,"34,868",0
2024-10-31,"34,615",1
2024-11-01,"33,144",1
2024-11-02,"32,444",1
2024-11-03,"32,319",1
2024-11-04,"31,598",1
2024-11-05,"33,535",1
2024-11-06,"33,382",0
2024-11-07,"33,922",0
2024-11-08,"34,564",0
2024-11-09,"33,367",1
2024-11-10,"32,048",0
2024-11-11,"32,923",0
2024-11-12,"34,154",0
2024-11-13,"33,844",1
2024-11-14,"33,167",0
2024-11-15,"31,451",1
2024-11-16,"31,482",1
2024-11-17,"31,772",1
2024-11-18,"33,268",0
2024-11-19,"31,507",1
2024-11-20,"30,435",0
2024-11-21,"32,078",1
2024-11-22,"32,527",0
2024-11-23,"32,727",0
2024-11-24,"32,917",0
2024-11-25,"33,04",0
2024-11-26,"33,827",0
2024-11-27,"33,41",0
2024-11-28,"33,143",1
2024-10-08,"31,96",0
2024-10-09,"32,298",0
2024-10-10,"32,606",0
2024-10-11,"32,499",0
2024-10-12,"32,64",0
2024-10-13,"32,654",0
2024-10-14,"32,49",1
2024-10-15,"32,383",0
2024-10-16,"32,527",0
2024-10-17,"32,333",0
2024-10-18,"32,453",1
2024-10-19,"32,558",0
2024-10-20,"32,14",0
2024-10-21,"32,148",0
2024-10-22,"32,363",0
2024-10-23,"32,722",0
2024-10-24,"32,792",0
2024-10-25,"32,769",0
2024-10-26,"32,962",1
2024-10-27,"32,741",0
2024-10-28,"32,343",0
2024-10-29,"32,566",0
2024-10-30,"32,671",0
2024-10-31,"32,863",1
2024-11-01,"32,013",1
2024-11-02,"31,551",1
2024-11-03,"31,064",1
2024-11-04,"30,458",1
2024-11-05,"32,108",1
2024-11-06,"32,33",0
2024-11-07,"32,385",0
2024-11-08,"32,729",0
2024-11-09,"32,099",1
2024-11-10,"31,787",0
2024-11-11,"32,362",0
2024-11-12,"32,737",0
